Date,Open,High,Low,Close,Volume,Adj Close
2014-04-22,81.20,81.94,80.66,81.04,18200,81.04
2014-04-21,81.06,81.48,80.46,81.25,22600,81.25
2014-04-17,81.06,81.64,80.49,80.71,17200,80.71
2014-04-16,81.49,81.53,80.81,81.07,13600,81.07
2014-04-15,81.80,82.49,80.13,80.78,46900,80.78
2014-04-14,81.50,82.19,80.55,81.20,45700,81.20
2014-04-11,80.98,82.01,80.32,81.06,62900,81.06
2014-04-10,81.68,82.32,79.85,81.45,57400,81.45
2014-04-09,82.07,82.45,81.51,81.95,19100,81.95
2014-04-08,80.56,81.92,80.02,81.50,24100,81.50
2014-04-07,79.43,81.10,79.43,80.23,28100,80.23
2014-04-04,82.42,82.46,78.01,79.15,54500,79.15
2014-04-03,83.31,83.59,82.01,82.40,37900,82.40
2014-04-02,84.76,84.79,82.70,83.25,30300,83.25
2014-04-01,85.35,85.98,84.69,85.01,26200,85.01
2014-03-31,85.35,86.56,84.52,84.98,48200,84.98
2014-03-28,85.94,86.63,85.25,85.25,24800,85.25
2014-03-27,87.09,87.95,85.33,85.70,20100,85.70
2014-03-26,88.03,88.84,86.22,86.44,31400,86.44
2014-03-25,86.10,88.40,85.62,87.90,15000,87.90
2014-03-24,87.79,88.12,86.88,87.01,22100,87.01
2014-03-21,88.96,89.00,88.02,88.04,18800,88.04
2014-03-20,88.10,89.12,88.10,88.41,12100,88.41
2014-03-19,88.12,89.00,87.51,88.55,23300,88.55
2014-03-18,88.18,88.64,87.43,88.46,35500,88.46
2014-03-17,88.88,89.27,87.69,88.50,27400,88.50
2014-03-14,87.25,89.32,86.99,88.42,24900,88.42
2014-03-13,87.75,88.00,86.71,87.59,22400,87.59
2014-03-12,86.58,88.90,86.20,87.61,25800,87.61
2014-03-11,87.49,87.76,86.33,87.16,37400,87.16
2014-03-10,89.40,89.40,86.49,87.34,32200,87.34
2014-03-07,86.10,87.08,84.62,86.57,45100,86.57
2014-03-06,85.94,87.54,84.54,86.09,54100,86.09
2014-03-05,83.79,85.87,82.51,85.46,74700,85.46
2014-03-04,80.26,84.89,79.79,84.34,242200,84.34
2014-03-03,76.77,80.57,76.02,79.96,131500,79.96
2014-02-28,75.72,76.52,75.57,75.64,20200,75.64
2014-02-27,74.96,75.81,74.83,75.56,12400,75.56
2014-02-26,74.88,75.99,74.67,75.00,12400,75.00
2014-02-25,75.98,75.98,74.64,75.17,10100,75.17
2014-02-24,74.74,75.93,74.70,75.66,31800,75.66
2014-02-21,73.50,75.00,72.97,74.65,22500,74.65
2014-02-20,72.03,73.72,72.03,73.51,10900,73.51
2014-02-19,72.67,72.94,71.97,72.43,25100,72.43
2014-02-18,72.85,73.44,71.51,73.13,27100,73.13
2014-02-14,72.01,73.10,71.70,72.27,25400,72.27
2014-02-13,69.44,72.45,69.44,71.94,27800,71.94
2014-02-12,69.40,70.10,68.91,69.39,24600,69.39
2014-02-11,69.08,69.72,68.70,69.47,23200,69.47
2014-02-10,68.39,69.18,67.98,68.73,30100,68.73
2014-02-07,67.32,68.46,67.32,67.94,30900,67.94
2014-02-06,66.25,67.37,66.01,66.86,36300,66.86
2014-02-05,66.15,66.71,65.74,66.53,33400,66.53
2014-02-04,66.31,66.90,66.07,66.15,24500,66.15
2014-02-03,68.28,68.75,66.00,66.10,33800,66.10
2014-01-31,67.94,69.15,67.94,68.28,23300,68.28
2014-01-30,68.41,69.82,67.94,68.68,26500,68.68
2014-01-29,68.26,68.80,68.00,68.35,22500,68.35
2014-01-28,69.73,69.73,68.13,68.89,28000,68.64
2014-01-27,70.30,70.51,68.09,69.46,36100,69.21
2014-01-24,71.50,71.68,70.12,70.31,24500,70.05
2014-01-23,72.07,72.55,71.50,71.90,10500,71.64
2014-01-22,72.12,72.17,71.67,72.13,27300,71.87
2014-01-21,72.94,73.49,72.00,72.10,24300,71.84
2014-01-17,73.31,73.31,72.10,72.30,13900,72.04
2014-01-16,72.63,73.00,72.02,72.85,30500,72.59
2014-01-15,71.59,73.00,71.13,72.98,27100,72.72
2014-01-14,71.98,72.18,71.17,71.64,20500,71.38
2014-01-13,72.41,72.86,71.04,71.68,34300,71.42
