day,daily_sentiments
13 1 2014,0.4537356931565217
14 1 2014,0.4969107432548768
15 1 2014,0.48847681280343686
16 1 2014,0.493444209876864
17 1 2014,0.4911620733883263
18 1 2014,0.4722316261671778
19 1 2014,0.4809811339923355
20 1 2014,0.4963346062670425
21 1 2014,0.48752499504680674
22 1 2014,0.5074432057307108
23 1 2014,0.5045993161930641
25 1 2014,0.5047389018704546
26 1 2014,0.5036403036372024
27 1 2014,0.5051018279446022
28 1 2014,0.5066603807471892
29 1 2014,0.5093369494500399
30 1 2014,0.4988357452420274
31 1 2014,0.5048648211087415
1 2 2014,0.49352487784668797
2 2 2014,0.42132144453139764
3 2 2014,0.50270844332
10 2 2014,0.5183553329121966
11 2 2014,0.5140239036077215
12 2 2014,0.5111820808007687
13 2 2014,0.5073615351619551
14 2 2014,0.5003134250775509
15 2 2014,0.5107861783753778
16 2 2014,0.4958252919467693
17 2 2014,0.5080603084621529
18 2 2014,0.5062597492376342
19 2 2014,0.5050990249863979
20 2 2014,0.5136509446633687
21 2 2014,0.5080335151590233
22 2 2014,0.5041417028542334
